No.,Letra,Correlativo,Origen,Año,Epoca,Fecha,Número,Página,Sección,Título,Subtítulo,Autores,Tema 1,Tema 2,Tema 3,Tema 4,Tema 5,Revisado,Corrección_Ortográfica,Revisión_LT_Errores
30,Z,1.8,Prensa Libre,51,,3/02/2002,16526,19,Reportaje: Ciudad,Historias para contar de un zoo,,José Toledo Ordóñez,Zoologia,,,,,,,
31,Z,1.7,El Periódico,5,,25/08/2001,1716,7,Pagina Verde,EL SAPO: Un bonachon feo y con mala fama,,Paola Hurtado,Zoologia - Guatemala,El sapo,,,,,,
32,Z,1.6,El Periódico,4,,24/09/2000,1390,20,La Aurora: Historia de un Zoologico,La Aurora: Historia de un Zoologico,,"Luis Urrutia, Jesus Alfonso",Zoologico - Guatemala,"""La Aurora""",,,,,,
33,Z,1.5,Siglo XXI ,11,,5/09/2000,3763,25,Vida,Los niños padrinos del jaguar,,Lorena Callejas,Zoologico - Guatemala,"""La Aurora""",,,,,,
34,Z,1.4,Prensa Libre,-,,8/08/1999,,-,Reportaje: Central,Aventura Salvaje,,Ana Lucia González,Zoologico - Guatemala,Zoologico La Aurora,,,,,,
35,Z,1.3,Siglo XXI ,10,,5/09/2025,3332,16-17,Time Magazine,"Los gorilas del Congo, amenzados en su hábitad natural, han encontrado un santuario en el zoológico del Bronx, en Nueva York",,Eugene Linden,Zoológicos ,Animales en cautiverio,,,,,,
36,Z,1.2,El Grafico,XXXV,,10/02/1998,11960,18,Reportaje Especial,"Zoológico ""La Aurora""",,Aura Mazariegos,Zoologico - Guatemala,,,,,,,
37,Z,1.1,Prensa Libre,44,,20/11/1994,,26,Reportaje,Los parques zoológicos se convierten en Arcas de Noé,,Gabriele Chuallek,Parques Zoologicos,,,,,,,
38,V,1.8,Prensa Libre,LXVI,,29/06/2017,22091,22,Actualidad,Ciberataque mundial es difícil de detener,,-,Virus informaticos,Delitos por computador,Seguridad  en computadores,,,,,
39,V,1.7,El Periódico,21,,28/06/2017,7370,15,Inversion,Nuevo ciberataque aterra al mundo,,-,Virus informaticos,Delitos por computador,Extorsion,,,,,
40,V,1.6,El Periódico,LXXI,,22/05/2017,22053,20,Actualidad,El secuestro de datos es una amenaza para America,,Virus informáticos,Delitos por computador,,,,,,,
41,V,1.5,El Periódico,91,,17/05/1991,7328,21,-,"Corea del Norte, tras ciberataque global",,Virus informáticos,Corea del Norte,Delitos por computador,,,,,,
42,V,1.4,Prensa Libre,LXVI,,16/05/2017,22047,14,Mundo economico,Guatemala corrió con suerte ante el ciberataque,,Rosa María Bolaños,Virus informaticos,Delitos por computador,,,,,,
43,V,1.3,Prensa Libre,LXXI,,16/05/2017,22047,15,Mundo economico,Cientos de países arrastran estragos de WannaCry,,Rosana Rojas,Virus informaticos,Delitos por computador,,,,,,
44,V,1.2,Prensa Libre,LXVI,,15/05/2017,22041,5,Primer Plano,Expertos temen nuevos estragos de ciberataque,,Rosana Rojas,Virus informaticos,Delitos por computador,,,,,,
45,V,1.1,El Periódico,21,,14/05/2016,7325,8,Mundo,Ciberataque extiende sus efectos a nivel mundial ,,-,Virus informaticos,Delitos por computador,,,,,,
46,V,1.14,Prensa Libre,LXXIV,,15/07/2025,,16,Internacional,Subirá precio de visa para turista,,E. Dávila y W. Oliva,Visas,Precio de visas,Visas para turistas,,,,,
47,V,1.13,Prensa Libre,LXXIV,,30/05/2025,,28,Internacional,Visados aumentan tensión geopolítica,,"William Oliva, AFP y EFE",Visas,Estudiantes extranjeros,Seguridad Nacional,Universidades,,,,
48,V,1.12,Prensa Libre,LXXIV,,23/12/2024,,12,Mundo económico,Incertidumbre en programa de visas para extranjeros,,Voz de América,Visas,Programa de visas,Donald Trump,,,,,
49,V,1.11,Prensa Libre,LXIX,,19/04/2020,23104,8,PLD Actualidad,Por Covid-19 Reactivan visas de trabajo temporales ,,Irving Escobar y Urías Gamarro,Visas - Guatemala,Visas H - Z,Temporales,,,,,
50,V,1.1,Prensa Libre,LXIX,,26/02/2020,23053,16,Actualidad,Estafadores piden hasta Q10 mil por visa agrícola,,Natiana Gándara,Visas,Visas temporales - Agrícolas,Ministerio de trabajo,,,,,
51,V,1.9,Prensa Libre,LXIX,,10/02/2020,23037,8,Actualidad,Detectan estafas con visas agrícolas,,Inving Escobar,Visas,Visas laborales agrícolas,Estafa - visas laborales,,,,,
52,V,1.8,Prensa Libre,LXIX,,20/01/2020,23016,16,Actualidad,El auge de trabajadores invitados en EE.UU.,,-,Visas ,Visas temporales - EE.UU,Trabajadores invitados - EE.UU,,,,,
53,V,1.7,Prensa Libre,LXIX,,4/01/2020,23000,12,Actualidad,Masiva solicitud de visas agrícolas ,,Natiana Gándara,Visas,Visas laborales - EE.UU,Acuerdo migratorio - Guatemala - EE.UU,,,,,
54,V,1.6,Prensa Libre,LXVIII,,27/09/2019,22903,6,Actualidad,Excluyen a país de beneficio,,Mariajosé España,Visas,"Programa ""loteria de visas""",Gobierno EE.UU,,,,,
55,V,1.5,El Periódico,23,,20/08/2019,8136,5,Nación ,Incremento de visas de trabajo aún no está en firme ,,-,Visas,Visas ,Visas temporales - Trabajos agrícolas ,Ministerio de agricultura - visas H2A,,,,
