No.,Letra,Correlativo,Origen,Año,Epoca,Fecha,Número,Página,Sección,Título,Subtítulo,Autores,Tema 1,Tema 2,Tema 3,Tema 4,Tema 5,Revisado,Corrección_Ortográfica,Revisión_LT_Errores
140,V,1.26,Siglo XXI ,18,,12/03/2007,,2 y 3,,"Bush, una visita sin esplendor",,Lesly Véliz,Visitas presidenciales,George W. Bush,,,,,,
141,V,1.25,Prensa Libre,LVI,,12/03/2007,,-,-,"seguridad, posicionada en Iximché y Sta. Cruz Balanyá",,Lorena Seijo,Visitas presidenciales,George W. Bush,,,,,,
142,V,1.24,Prensa Libre,LVI,,12/03/2007,,-,-,"""Me da gusto estar acá""",,Francisco González y Luisa F. Rodríguez,Visitas presidenciales,George W. Bush,,,,,,
143,V,1.23,Siglo XXI ,18,,10/03/2007,,2,Nacional,"""Estas visitas raramente generan cosas concretas""",,Ivonne Gabet,Visitas presidenciales,George W. Bush,Relaciones exteriores-Guatemala,,,,,
144,V,1.22,Siglo XXI ,18,,10/03/2007,,13,Perspectiva ,¿De veras Bush nos ignora?,,Francisco Ancheyta,Visitas presidenciales,George Bush,Relaciones exteriores ,,,,,
145,V,1.21,Prensa Libre,LVI,,10/03/2007,,4,-,Tomado por el Servicio Secreto,,Lorena Seijo,Visitas presidenciales,George W. Bush,,,,,,
146,V,1.2,Prensa Libre,LVI,,9/03/2007,,5,-,Campos verdes recibirán a Bush,,Claudia Méndez V.,Visitas presidenciales,,,,,,,
147,V,1.19,Prensa Libre,LVI,,9/03/2007,,4,-,Seguridad externa,,-,Visitas presidenciales,George W. Bush,,,,,,
148,V,1.18,El Periódico,11,,9/03/2007,,2,-,Las 23 horas de Bush en Guatemala,,Antonio Ordoñez ,Visitas presidenciales,George W. Bush,,,,,,
149,V,1.17,Siglo XXI ,18,,9/03/2007,,-,-,País busca $30 millones que maneja Bush,,Otto N. Ángel,Visitas presidenciales,George W. Bush,,,,,,
150,V,1.16,El Periódico,11,,8/03/2007,,8,-,"""Extreme make over"" de Santa Cruz Balanyá",,Antonio Ordoñez ,Visitas presidenciales,George W. Bush,Santa Cruz Balayá,,,,,
151,V,1.15,Siglo XXI ,18,,7/03/2007,,6,,"Agenda social ""preocupa"" a Bush",,"Ericka Marroquín, Otto N. Ángel",Visitas presidenciales,George W. Bush,,,,,,
152,V,1.14,Siglo XXI ,18,,7/03/2007,,6,política,"Agenda social ""preocupa"" a Bush",,"Ericka Marroquín, Otto N. Ángel",Visitas presidenciales,George W. Bush,,,,,,
153,V,1.13,Siglo XXI ,18,,6/03/2007,,6,-, Gobierno ya no insistirá con TPS,,Rodrigo Pérez,Visitas presidenciales,George W. Bush,,,,,,
154,V,1.12,Prensa Libre,LVI,,6/03/2007,,2,,programas por US$460 millones,,Eduardo Smith,Visitas presidenciales,George W. Bush,,,,,,
155,V,1.11,Prensa Libre,LVI,,4/03/2007,,"3, 4 y 5",,Visita del presidente de EEUU Migrantes principal demanda,,Carlos Menocal,Visitas presidenciales,George W. Bush,,,,,,
156,V,1.1,Prensa Libre,LVI,,4/03/2007,,2,Actualidad,Mes internacional,,-,Visitas presidenciales,,,,,,,
157,V,1.9,Siglo XXI ,18,,2/03/2007,,-,,Zona Viva tendrá vigilancia extra,,Miriam Pacheco,Visitas presidenciales,George W. Bush,Seguridad,,,,,
158,V,1.8,Prensa Libre,LVI,,9/02/2007,,2 y 3,,País incluido en ofensiva geopolítica,,Martín Rodríguez P. y Luisa F. Rodríguez,Visitas presidenciales,George W. Bush,,,,,,
159,V,1.7,El Periódico,10,,13/09/2006,,3,,Fugaz visita de Evo Morales al país,,Andrés Dávila S.,Visitas presidenciales,Evo Morales,,,,,,
160,V,1.6,El Periódico,10,,18/06/2006,,14 y 15,,"""Si tuviera el poder, me gustaría llevar a juicio a esa persona que se llevó nuestro dinero""",,Sylvia Gereda Valenzuela,Visitas presidenciales,Vicepresidenta de Taiwán,TLC Guatemala - Taiwán,,,,,
161,V,1.5,Prensa Libre,LVII,,9/05/2006,,14,,la visita del príncipe Haakon,,-,Visitas presidenciales,Príncipe Haakon (Noruega),,,,,,
162,V,1.4,El Periódico,10,,20/01/2006,,3,,Colombia dará más apoyo contra el narcotráfico,,Antonio Ordoñez ,Visitas presidenciales,Combate al narcotráfico,Presidente de Guatemala y Colombia,,,,,
163,V,1.3,Prensa Libre,53,,26/03/2004,,23,Internacional,"Promesas, promesas y más promesas ",,Reny M. Bake ,Visitas presidenciales,Vicente Fox ,,,,,,
164,V,1.2,Siglo XXI ,15,,24/03/2004,5044,2 y 3 ,,Fox apoyará a migrantes,,"G. González, F Gonález, Walter Nájera y F. Quiñónez",Visitas presidenciales,Visita de Presidente Vicente Fox,,,,,,
165,V,1.1,Prensa Libre,48,,20/04/1999,,3,,Gerardi en la agenda,,Grupo Política y Poderes,Visitas presidenciales,Inglesia Católica,Juan Pablo II,,,,,
166,,,,,,,,,,,,,,,,,,,,
167,V,1.2,Prensa Libre,LXVIII,,6/07/2019,,12,Actualidad,Q250 MILLONES poyecta Expocasa,,Paula Ozaeta,Vivienda - Guatemala,Expocasa,,,,,,
168,V,1.19,El Periódico,23,,7/06/2019,,11,Inversion,Municipios deben proponer planes de vivienda social,,Geldi Muñoz Palala,Vivienda - Guatemala,Desarrollo Habitacional,Urbanismo,,,,,
169,V,1.18,Prensa Libre,LXVII,,29/08/2018,,19,Ciudades,Construyen vivienda social en la zona 6,,José Manuel Patzán,Vivienda - Guatemala,Edificio de departamentos,multifamiliar a bajo costo,,,,,
170,V,1.17,El Periódico,22,,25/08/2018,,5,Nación,Viviendas para damnificados por erupción del volcán de Fuego,,Geldi Muñoz Palala,Vivienda - Guatemala,Donativos,Volcán de fuego,,,,,
171,V,1.16,Prensa Libre,LXII,,23/04/2018,,12,Actualidad,Crece interés por invertir en sector vivienda,,Urías Gamarro,Vivienda - Guatemala,Enade (Encuentro nacional de empresarios),,,,,,
172,V,1.15,Prensa Libre,LXVII,,21/08/2018,,21,Ciudades,Esperan construir 200 casas,,Enrique Paredes,Vivienda - Guatemala,Volcán de Fuego,Damnificados,,,,,
173,V,1.14,El Periódico,22,,8/08/2018,,12,Inversion,Promueven crear instituto de vivienda para reactivar economía,,Geldi Muñoz Palala,Vivienda - Guatemala,Instituto del ahorro para la vivienda,Problemática habitacional,,,,,
174,V,1.13,Prensa Libre,LXVII,,80/08/2018,,12,actualidad,Sectores reaccionan a iniciativa de vivienda,,Rosa María Bolaños,Vivienda - Guatemala,Instituto del ahorro para la vivienda,Sistema de crédito para vivienda,Problemática habitacional,,,,
175,V,1.12,Prensa Libre,LXVII,,8/08/2018,,18,Ciudades,Vecinos de la vía férre exigen plan de vivienda,,José Manuel Patzán,Vivienda - Guatemala,Vivienda,Residentes antigua via del ferrocarril,metro riel,,,,
176,V,1.11,El Periódico,22,,3/08/2018,,10,Inversion,Construirán vivienda económica para segmento C- y D+,,Lorena Álvarez,Vivienda - Guatemala,Apartamentos económicos C- y D+,,,,,,
177,V,1.1,El Periódico,22,,29/07/2018,,6,Nación,Inicia traslado de damnificados a finca La Industria,,Evelyn Vásquez,Vivienda - Guatemala,Traslado de Damnificados,,,,,,
178,V,1.09,Prensa Libre,LXVII,,27/07/2018,,12,Actualidad,Sector vivienda podría reactivar la economía,,Urías Gamarro,Vivienda - Guatemala,Economía,,,,,,
179,V,1.08,Prensa Libre,LXVII,,26/07/2018,,20,ciudades,Deficiencias en viviendas construidas,,José Manuel Patzán,Vivienda - Guatemala,FOPAVI (fondo para la vivienda),Deficiencias en viviendas,,,,,
180,V,1.07,El Periódico,22,,16/07/2018,,"4, 5",Investigación,"Viviendas para víctimas del volcán estarán sobrevaloradas en Q28,5 millones",,-,Vivienda - Guatemala,Presupuesto,,,,,,
181,V,1.06,Prensa Libre,LXVII,,9/07/2018,,26,ciudades,Solo 17 casas de 200 han sido entregadas,,-,Vivienda - Guatemala,FOPAVI (fondo para la vivienda),,,,,,
182,V,1.05,El Periódico,22,,4/07/2018,,5,nación,El complicado camino hacia la vivienda prometida,,-,Vivienda - Guatemala,Desastres naturales,Volcán de Fuego,,,,,
183,V,1.04,Prensa Libre,LXVII,,19/06/2018,,22,ciudades,Construyen casas temporales a familia,,Julio Sacán ,Vivienda - Guatemala,Casas Temporales Damnificados,Volcán de Fuego,,,,,
184,V,1.03,El Periódico,22,,14/06/2018,,6,nación,Gobierno construirá mil casas para damnificados,,Cindy Espina,Vivienda - Guatemala,Volcán de Fuego - afectados,Donaciones,,,,,
185,V,1.02,Prensa Libre,4,,15/06/2018,,4,Actualidad,Ofrecen casas temporales a damnificados,,Carlos Álvarez,Vivienda - Guatemala,Vivienda de transición Damnificados,Volcán de Fuego,,,,,
186,V,1.01,Prensa Libre,14,,7/05/2018,22399,14,Actualidad,Cédulas hipotecarias crecerían hasta 10%,,Urías Gamarro,Vivienda - Guatemala,Cédulas hipotecarias,,,,,,
187,V,1.4,El Periódico,23,,3/02/2019,,9,Inversion,La demanda de vvienda vertical crecio 66 por ciento,,Evelin Vásquez,Vivienda - Guatemala,Vivienda - Crecimiento,Inversion,,,,,
188,V,1.39,Prensa Libre,LXVII,,29/04/2018,22391,14-17,Reportaje,Dime donde vives y sabras cuanto te cuesta,,E. Pitán y correspondencia,Vivienda - Guatemala,Plusvalia alta,,,,,,
189,V,1.38,Prensa Libre,LXVII,,16/04/2018,,24,Ciudades,Ya no hay terreno para edificar colonias,,E. Pitán ,Vivienda - Guatemala,Urbanismo,,,,,,
190,V,1.37,Prensa Libre,LXVII,LXVII,11/12/2017,,10,Actualidad,Dos años a la espera de un nuevo hogar,,Henry Estuardo Pocasangre,Vivienda - Guatemala,Caso el Cambray II,,,,,,
191,V,1.36,Prensa Libre,LXVII,,21/10/2017,,16,Ciudades,Salario minimo sera base para optar a vivienda,,E. Pitán ,Vivienda - Guatemala,Proyectos de vivienda,,,,,,
192,V,1.35,Prensa Libre,LXVII,,9/10/2017,,40-41,Ciudades,Invertiran en vivienda social,,  ,Vivienda - Guatemala,Proyectos de vivienda,Urbanismo,,,,,
193,V,1.34,Prensa Libre,LXVII,,4/10/2017,,17,Ciudades,Cada familia vivira en 50 metros cuadrados,,E. Pitán ,Vivienda - Guatemala,Edificios de apartamentos,,,,,,
194,V,1.33,Prensa Libre,LXVII,,29/09/2017,,21,Ciudades,Afectado del Cambray recibiran viviendas este año,,E. Pitán ,Vivienda - Guatemala,Caso el Cambray II,Desastres naturales,,,,,
195,V,1.32,El Periódico,21,,29/05/2017,,12,Inversion,Hogares se endeudan más para consumo que vivienda,,Lorena Alvarez,Vivienda - Guatemala,Prestamos Bancarios,Deuda publica,,,,,
196,V,1.31,Prensa Libre,LXVI,,24/03/2017,,20,Ciudades,Se impulsa elitización residencial en la zona 1,,E. Pitán ,Vivienda - Guatemala,Viviendas Verticales,,,,,,
197,V,1.3,El Periódico,21,,16/01/2017,,10,Inversion,Guatemala presenta el mayor déficit de calidad en vivienda,,Braulio Placios,Vivienda - Guatemala,Deficit en calidad ,,,,,,
198,V,1.29,Prensa Libre,LXVI,,8/02/2016,,20,Actualidad Nacional,Comuna construirá viviendas en zona 17,,E. Pitán ,Vivienda - Guatemala,Municipalida de Guatemala,Proyecto habitacional,,,,,
199,V,1.28,El Periódico,20,,21/10/2016,,10,Inversion,Viceministerio eliminará oenegés de los proyectos habitacionales,,Cyndi Espina,Vivienda - Guatemala,Proyectos habitacionales,ONG's fuera de proyectos,,,,,
200,V,1.27,El Periódico,20,,26/09/2016,7103,5,Investigación,Gestión de Anabella de León al frente del Registro bajo escrutinio,,Evelin Boche,Vivienda - Guatemala,Vivienda del vicepresidente,Jafeth Cabrero,,,,,
201,V,1.26,El Periódico,20,,4/07/2016,,10,Inversion,Subsidios a vivienda popular con poco impacto,,Manuel Silva,Vivienda - Guatemala,Guatemala-Política social,Corrupción,,,,,
202,V,1.25,El Periódico,20,,7/04/2016,,11,Inversion,Una solucion sostenible enfocada en el área rural ,,Manuel Silva,Vivienda - Guatemala,Vivienda-Encuesta,Vivienda rural,,,,,
203,V,1.24,Prensa Libre,LXV,,19/11/2015,,10,Actualidad Nacional,Proyecto recibe aportes y criticas,,Henry Estuardo Pocasangre,Vivienda - Guatemala,"Proyecto ""Querida Familia""",Cambray II,,,,,
204,V,1.23,Prensa Libre,LXV,,13/10/2015,,4,Cambray II ,Proyecto de vivienda costará Q20 millones,,Carlos Álvarez y Geovanni Contreras,Vivienda - Guatemala,San José Pinula,Reubicación Cambray 2,,,,,
205,V,1.22,Prensa Libre,LXV,,28/09/2015,,35,Mundo Económico,Alquiler social opera dos proyectos,,Rosa María Bolaños,Vivienda - Guatemala,Proyectos de compra de vivienda,Alquiler Social,,,,,
206,V,1.21,Prensa Libre,LXVIII,,17/08/2019,,14,Ciudades,El 60% de la población vive en zonas de riesgo,,Francisco Maurício Martinez,Vivienda - Guatemala,Ordenamiento territorial,Zonas de riesgo,,,,,
207,V,2.24,Prensa Libre,LXXIV,,9/08/2025,,5,Actualidad,Fopavi entrega 80' subsidios mensuales,,Sandy Pineda,Vivienda - Guatemala,Subsidios,FOPAVI,,,,,
208,V,2.23,Prensa Libre,LXXIV,,11/07/2025,,11,Mundo Económico,Proyectos mixtos tienen potencial de crecimiento,,Ximena Fernandez,Vivienda - Guatemala,Proyectos Inmobiliarios,,,,,,
209,V,2.22,Prensa Libre,LXXIV,,26/04/2025,,11,Mundo Económico,Más personas optarán a crédito,,Rosa María Bolaños,Vivienda - Guatemala,Banco de Guatemala,Credito Hipotecario Nacional,,,,,
210,V,2.21,Prensa Libre,LXXIV,,20/04/2025,24911,8-10,Analisis y Reflexion,Vivienda prioritaria: el programa municipal que se expande en la capital,,Ana Lucía González,Vivienda - Guatemala,Programa municipal,Vivienda popular,,,,,
211,V,2.2,Prensa Libre,LXXIV,,3/03/2025,24865,6-9,Actualidad,Crecimiento Vertical imparable,,Ana Lucía Gonzalez,Vivienda - Guatemala,Vivienda Vertical,Ciudad Capital,,,,,
212,V,2.19,Prensa Libre,LXXIV,,8/02/2025,,13,Mundo Económico,Programa de vivienda recibe más expedientes,,Glenda Burrión,Vivienda - Guatemala,LHN,Programa: Mi primera Casa,,,,,
213,V,2.18,Prensa Libre,LXXIV,,23/10/2024,,5,Actualidad,Anuncian fondo de vivienda,,Hedy Quino,Vivienda - Guatemala,Fondo de Vivienda,Credito de Vivienda,,,,,
214,V,2.17,Prensa Libre,LXXIII,,11/07/2024,,8.9,Analisis y Reflexion,Su objetivo fue dar casa propia a todos,,Brenda Martínez,Vivienda - Guatemala,Vivienda Popular,Programas Parciales,Guatemala-historia,,,,
215,V,2.16,Prensa Libre,LXXIII,,8/11/2023,,8,Nación,Vivienda aún es inaccesible para clases populares,,Sergio Morales Rodas,Vivienda - Guatemala,Ley acceso a la vivienda,,,,,,
216,V,2.15,Prensa Libre,LXXIII,,9/09/2023,,8,Comunitario,Desorden territorial eleva el riesgo de desastres,,José Manuel Patzán,Vivienda - Guatemala,Ordenamiento territorial,Desastres naturales,,,,,
217,V,2.14,Prensa Libre,LXXIL,,8/09/2022,,3,Actualidad,Grieta se extiende y vecinos son evacuados,,"César Pérez, Andrea Domínguez y Oscar García",Vivienda - Guatemala,Conred - Desastres,Evaciación,,,,,
218,V,2.13,Prensa Libre,LXXI ,,7/05/2022,,10,Mundo económico,Miles de familias sobreviven en asentamientos,,Rosa María Bolaños,Vivienda - Guatemala,Asentamientos humanos,Deficit,,,,,
219,V,2.12,Prensa Libre,LXXI ,,22/04/2022,,11,Mundo económico,Ley facilita obtención de crédito para vivienda,,Urías Gamarro,Vivienda - Guatemala,Vivienda - Ley de Interéz Preferencial LIP,Vivienda - Beneficios,,,,,
220,V,2.11,Prensa Libre,LXXI ,,7/02/2022,,14,Mundo económico,Aumenta contrucción de vivienda en la provincia,,N. gándara y U. Gamarro,Vivienda - Guatemala,Provincia,,,,,,
221,V,2.1,Prensa Libre,LXVIII,,7/10/2019,,39,Ciudades,Quince familias reciben vivienda,,Carlos Enrique Paredes,Vivienda - Guatemala,Escuintla,Damnificados,,,,,
222,V,2.9,Prensa Libre,LXVIII,,3/10/2019,,20,Ciudades,Reparan viviendas en La Dignidad,,Carlos Enrique Paredes,Vivienda - Guatemala,Damnificados - volcán de fuego,"Colonia La Dignidad, Fase 1 - Escuintla",,,,,
223,V,2.8,Prensa Libre,LXVIII,,20/09/2019,,13,Ciudades,Viviendas nuevas ya tienen daños,,Carlos Enrique Paredes,Vivienda - Guatemala,Viviendas - Damnificados volcán de fuego,Daños - casas,,,,,
224,V,2.7,Prensa Libre,LXVIII,,14/04/2019,,22,Ciudades,Hábitat entrega 17 viviendas más,,La Redacción,Vivienda - Guatemala,Donación - Damnificados - volcán de fuego,Habitat para la Humanidad - Palín,,,,,
225,V,2.6,Prensa Libre,LXVIII,,13/02/2019,,18,Actualidad,Damnificados recibirán lote para vivienda,,Julio Sicán,Vivienda - Guatemala,Damnificados - volcán de fuego,Construcción de viviendas,,,,,
226,V,2.5,Prensa Libre,LXVIII,,8/07/2019,,22,Ciudades,Se retrasa construcción de 45 casas en Escuintla,,Carlos Enrique Paredes,Vivienda - Guatemala,Construcción de Casas,Damnificados - Volcán de fuego,,,,,
227,V,2.4,Prensa Libre,LXVIII,,27/06/2019,,16,Actualidad,Demanda favorece la construcción vertical,,Rosa María Bolaños,Vivienda - Guatemala,Construcción Vertical,Demanda de apartamentos,,,,,
228,V,2.3,El Periódico,23,,15/05/2019,,4,Nación,Entregan primeras casas a sobrevivientes de erupción de volcán,,Cindy Espina,Vivienda - Guatemala,Entrega de casas - Sobrevivientes de Erupción,Ministerio de Comunicaciones Infraestructura y vivienda (CIV),,,,,
229,V,2.2,El Periódico,23,,18/03/2019,,6,Nación,Fopavi otorgó Q136.2 millones para vivienda popular en 2018,,Enrique García ,Vivienda - Guatemala,Fopavi - Construcción de viviendas,,,,,,
230,V,2.1,El Periódico,23,,10/03/2019,,6,Nación,Un nuevo comienzo en finca la Esperanza,,El Periódico,Vivienda - Guatemala,Fundación Adentro -  Ricardo Arjona,Sobrevivientes - Erupción volcán de Fuego,,,,,
231,V,3.4,El Periódico,22,,28/08/2018,7787,6-7,Corazones Unidos,Una historia de erupciones,,El Periódico,Volcanes,Volcan de Fuego,Actividad volcanica,,,,,
232,V,3.39,Prensa Libre,LXVII,,27/08/2018,22511,4,Actualidad,Cientificos estudian el Volcán de Fuego,,Francisco Mauricio Martinez,Volcanes,Volcan de Fuego,Estudio de campo,Cientificos,,,,
233,V,3.38,Prensa Libre,LXVII,,1/07/2018,22454,19,Hemeroteca,EL SANTIAGUITO OBLIGÓ A TRASLADAR EL PALMAR,,Nestor Galicia,Volcanes - Guatemala,Volcan Santiaguito,,,,,,
234,V,3.37,Prensa Libre,LXVII,,30/06/2018,22453,4,Actualidad,Más de 27 mil personas podrían ser evacuadas por riesgo volcánico,,Carlos Alvarez,Volcan de Fuego,Conred - Desastres,Comunidades en riesgo,,,,,
235,V,3.36,Prensa Libre,LXVII,,24/06/2018,22497,20-23,Reporte,La vida a la sombra del volcan de fuego,,Bill Barreto,Volcanes - Guatemala,Volcan de Fuego,Poblacion-Guatemala-Demografia,,,,,
236,V,3.35,Prensa Libre,22,,11/03/2018,22344,4,Así lo viví,Detectores de erupciones,,Erick Reyes Andrade,Volcanes - Guatemala,Erupciones,,,,,,
237,V,3.34,Prensa Libre,LXVII,,2/02/2018,22307,10,Actualidad,Volcan de fuego tuvo 20 horas de actividad,,Eduardo Gonzalez,Volcanes - Guatemala,Volcan de Fuego - Erupción,,,,,,
238,V,3.33,El Periódico,22,,2/02/2018,7584,2,Nación,Concluye fase eruptiva,,-,Volcanes - Guatemala,Volcan de Fuego -Ceniza,Cambio Climaticos,,,,,
239,V,3.32,Prensa Libre,LXVII,,18/12/2017,22267,22,Medio ambiente,Enorme erupción volcánica podría desatar El Niño,,DPA/AFP,Volcanes - Guatemala,Cambio Climaticos,,,,,,
240,V,3.31,Prensa Libre,LXVII,,7/01/2018,22281,8,Expreso,Turistas desafían al volcán Acatenango,,Victor Chamalé,Volcanes - Guatemala,Climatología,Turismo- Guatemala,,,,,
241,V,3.3,Prensa Libre,LXVI,,22/08/2017,22145,21,Ciudades,Ceniza del Volcán de Fuego afecta cultivos,,Victor Chamalé,Volcanes - Guatemala,Erupciones,Volcan de Fuego,,,,,
242,V,3.29,Prensa Libre,LXXI,,17/06/2017,22079,22,Todo noticia,Divulgan guía de volcanes del país,,-,Volcanes - Guatemala,Turismo - Guatemala,,,,,,
243,V,3.28,Prensa Libre,LXVI,,7/06/2017,,21,Chimaltenango,Erupción daña cultivos de maiz,,Victor Chamalé,Volcanes - Guatemala,Volcán de Fuego - Guatemala ,Agricultura - Guatemala,,,,,
244,V,3.27,Prensa Libre,LXVII,,24/05/2017,,20,Ciudades,Denuncian excursiones ilegales en volcanes,,Calos Ventura,Volcanes - Guatemala,Turismo ecológico,Evaluacion de riesgos,,,,,
245,V,3.26,Prensa Libre,LXVI,,6/05/2017,22037,10,Actualidad,Arena volcánica cubre poblados,,Enrique Paredes,Volcanes - Guatemala,Estado atmosférico,,,,,,
246,V,3.25,Prensa Libre,LXVI,,6/04/2017,22009,24,Ciudades,Instalado refugio en el Acatenango,,Víctor Chamalé,Volcanes - Guatemala,Volcán Acatenango - Chimaltenango,Refugio Térmico,,,,,
247,V,3.24,Prensa Libre,LXVI,,4/04/2011,22007,21,Provincia,Erupción daña plantas de café,,Víctor Chamalé,Volcanes - Guatemala,Volcan de Fuego,Desastres naturales - Guatemala,,,,,
248,V,3.23,Prensa Libre,LXVI,,10/01/2017,21925,24,Departamental,Limitan ascenso al volcán Acatenango,,José  Rosales,Volcanes - Guatemala,Volcán Acatenango - Chimaltenango,Tragedia,,,,,
249,V,3.22,Prensa Libre,LXVI,,11/01/2017,21924,3,-,Entidades evaden su papel en el turismo de volcanes,,Carlos Álvarez y Víctor Chamalé,Volcanes - Guatemala,Turismo de volcanes,Tragedia - Volcán Acatenango,,,,,
250,V,3.21,Siglo XXI ,27,,10/01/2017,10531,6,Nacional,Retomarán proyecto de ascensos a volcanes,,Yerdi Callejas,Volcanes - Guatemala,INGUAT,Regulación de ascenso a volcanes,,,,,
251,V,3.2,El Periódico,21,,22/11/2010,7160,6,Nacional,Columna de ceniza alcanza 5 mil metros,,Rony Véliz,Volcanes - Guatemala,Volcán de Fuego,,,,,,
252,V,3.19,Prensa Libre,LXVI,,4/10/2016,21827,18,Departamental,Se reactica Volcán de Fuego,,Carlos Paredes y Melvin Sandoval,Volcanes - Guatemala,Volcán de Fuego,,,,,,
253,V,3.18,Siglo XXI ,27,,26/09/2016,10431,5,Nacional,Volcán Santiaguito lanza lluvia de ceniza,,"Rony Véliz, Anaed Ruiz",Volcanes - Guatemala,Volcán Santiaguito,Erupciones,,,,,
254,V,3.17,Prensa Libre,LXV,,19/08/2016,21781,24,"Departamental, Actualidad",Santiaguito no cesa actividad,,"Carlos Ventura, Rolando Miranda",Volcanes - Guatemala,Volcán Santiaguito,,,,,,
255,V,3.16,El Periódico,20,,17/08/2016,7063,2,Departamental,Ceniza del Santiaguito llega a México,,-,Volcanes - Guatemala,Volcán Santiaguito,,,,,,
256,V,3.15,Prensa Libre,22,,25/07/2016,21756,22,"Actualidad, Nacional",TIPO DE ERUPCIÓN Y DE MATERIALES SON DISTINTOS CURIOSAS DIFERENCIAS,,Carlos Álvarez,Volcanes - Guatemala,Erupción ,Características,,,,,
257,V,3.14,Prensa Libre,LXV,,10/07/2016,21741,2 - 4,De portada,Inminente erupción del Santiaguito A merced del volcán,,Carlos Álvarez,Volcanes - Guatemala,Volcán Santiaguito,,,,,,
258,V,3.13,Prensa Libre,LXV,,3/12/2015,21525,25,,Material volcánico daña cultivos,,R. Miranda,Volcanes - Guatemala,Volcán Santiaguito,Maga,,,,,
259,V,3.12,Prensa Libre,LXV,,20/06/2016,21721,10,Departamental,Ceniza afecta a comunidades,,Carlos Ventura,Volcanes - Guatemala,Volcán Santiaguito,,,,,,
260,V,3.11,Prensa Libre,LXV,,29/06/2016,21730,6,Actualidad Nacional,Coloso aumenta actividad ,,Carlos Álvarez,Volcanes - Guatemala,Volcán Santiaguito,,,,,,
261,V,3.1,Prensa Libre,LXV,,2/07/2016,21733,17,Departamental,Santiaguito causa alarma,,"Óscar García, Oscar Felipe Quisque, Miguel Barrientos, Yanira Alvizúres",Volcanes - Guatemala,Explosión,Alerta por ceniza y humo,,,,,
262,V,3.09,Prensa Libre,LXVIII,,3/07/2019,22817,20,Ciudades,Volcán de Fuego tiene en alerta a pobladores,,Enrique Paredes,Volcanes - Guatemala,Actividad - volcán de fuego,Pobladores en Alerta,,,,,
263,V,3.08,Prensa Libre,LXVIII,,3/06/2019,22737,10,Actualidad,Vigilar volcán no es suficiente,,Carlos Alvarez,Volcanes - Guatemala,Comunidades en Riesgo,Volcán de Fuego,,,,,
264,V,3.07,Prensa Libre,LXVIII,,1/04/2019,7999,8,Actualidad,Nueva alerta por Volcán de Fuego,,Andrea Orozco,Volcanes - Guatemala,Alerta - Insivumeh - Conred,Posible Erupción - Volcán de Fuego,,,,,
265,V,3.06,Prensa Libre,2019,,23/01/2019,22658,20,Ciudades,Retumbos alarman a pobladores,,Enrique Paredes,Volcanes - Guatemala,Volcán de Fuego,Alerta en Escuintla,,,,,
266,V,3.05,Prensa Libre,LXVIII,,31/12/2018,22636,4,Actualidad,Erupción ensanchó cráter del Volcán de Fuego,,Carlos Alvarez,Volcanes - Guatemala,Volcán de Fuego,,,,,,
267,V,3.04,El Periódico,23,,6/11/2019,8214,"2, 5","Guatemala, Extraordinaria",LA CADENA VOLCÁNICA,,Ana Lucía González,Volcanes - Guatemala,Territorio Volcánico,,,,,,
268,V,3.03,Prensa Libre,LXVIII,,20/08/2019,22865,14,Ciudades,Regresarán a buscar víctimas,,Enrique Paredes,Volcanes - Guatemala,Victimas volcán de Fuego,Busqueda de cuerpos,,,,,
269,V,3.02,Prensa Libre,LXVIII,,4/08/2019,22849,6,Actualidad,Conred recomienda evacuar a 156 familias,,César Pérez Marroquín,Volcán de Fuego,Evacuación - Familias,Actividad - Volcán de Fuego,,,,,
270,V,3.01,El Periódico,23,,8/07/2019,,8,Nación,Aumenta actividad del Santiaguito,,Óscar F. Herrera,Volcanes - Guatemala,Volcán Santiaguito,Actividad volcánica,,,,,
271,V,4.18,Prensa Libre,LXXIV,,12/07/2025,,13,Mundo Económico,Volcán de ipala atrae visitantes,,Rosa María Bolaños,Volcanes - Guatemala,Volcán de ipala,,,,,,
272,V,4.17,Prensa Libre,LXXIV,,7/06/2025,24959,10,Actualidad,Merma actividad del volcán de Fuego,,Redacción,Volcanes - Guatemala,Volcán de Fuego,Desastres Naturales- Guatemala,,,,,
273,V,4.16,Prensa Libre,LXXIV,,6/06/2025,24958,4-5,Actualidad,Volcán de fuego pone en alerta a la costa sur,,"A. Domínguez y O. Garcia, P. Arellano y M. Barrientos",Volcanes - Guatemala,Volcán de Fuego,Deslaves,Desastres Naturales- Guatemala,,,,
274,V,4.15,Prensa Libre,LXXIII,,11/06/2024,24602,16.17,Guatemala viva,Majestuosos volcanes,,-,Volcanes - Guatemala,Turismo,INGUAT,,,,,
275,V,4.14,Prensa Libre,LXXIII,,10/06/2024,24601,7,Actualidad,Volcán expulsa gas y ceniza,,AFP,Volcanes - Guatemala,Volcán de Fuego,Actividad Explosiva,,,,,
276,V,4.13,Prensa Libre,LXXII,,5/05/2023,24203,6,Actualidad,Persiste alerta anaranjada por erupción,,Redacción,Volcanes - Guatemala,Desastres Naturales,Evacuación,,,,,
